series_ID,Series_year
100339,2017
101855,2019
101650,2018
103302,2014
104763,1991
104637,2016
102090,2019
100038,2017
105290,2006
101396,2020
104085,2019
105273,2014
105259,2017
103688,2016
103056,2015
102869,2019
100155,2019
100154,2019
101624,2014
101623,2013
100015,2018
100004,2014
101128,2015
103827,2013
105514,1987
100387,1943
105806,2021
106127,2006
103250,2017
102007,2019
104480,2014
101741,2015
103343,2015
103085,2018
101533,2018
105150,2019
105521,2014
105264,2011
102632,2018
103454,2018
101560,2019
102587,2015
103884,2019
104257,2018
104400,2009
103888,2021
102113,2017
103490,2014
105070,2019
105348,2021
100920,2007
101552,2007
104273,2014
105857,2021
103637,1993
105934,2018
105723,2016
101336,2019
100639,2015
101393,2019
101694,2011
103383,2020
100297,2012
101655,1941
101385,1942
101269,2015
100325,2012
101962,2019
104169,2020
101402,2018
104977,2021
103169,1972
103054,1991
100546,2011
105349,2011
105181,2020
102064,2018
105655,2016
102304,2019
102768,2020
102743,2011
102218,1947
101671,2008
100790,2016
101759,2020
103378,2019
103643,2016
105126,2020
103468,2018
101879,1970
104875,2020
105495,1982
103681,2019
100098,2002
105584,2017
100083,1988
102321,2021
102157,2014
101430,2020
101068,1937
102231,1938
103109,1946
104028,2017
103149,1938
100681,1966
105564,2013
104312,2021
103231,1994
102872,2019
104519,1964
101417,2015
102293,1952
105602,2015
103329,2013
102074,2016
103613,1988
105446,2016
101355,2016
102792,2015
103259,2019
104321,1946
101528,2002
103970,2021
102744,1947
102070,2017
101853,2019
104931,2019
101243,2020
101693,1938
104986,2016
104673,2019
103382,2020
103272,2010
105028,2018
103840,2013
102809,2015
103014,2017
102968,2017
102126,2013
102384,2012
102055,2014
103893,2014
101952,2012
100317,2012
104622,2017
104934,1977
100093,2019
104639,2017
105037,2021
104031,2018
103166,2017
102308,2017
102875,2018
105298,1989
102547,2013
101340,2013
101717,1998
102154,2009
100479,1990
101950,2010
102100,2013
104285,2021
102358,2019
100391,2012
101615,2020
103025,2017
101384,2015
104328,2018
101909,1937
103270,2020
100750,1982
103066,2018
101474,2015
104023,1937
101395,2013
102152,1933
102699,2019
101861,2009
104635,2021
105671,2019
105400,2017
104808,2020
101619,2007
102215,2016
105325,2021
102528,1985
102402,1980
105803,2006
104992,2021
100125,2019
105568,2016
102137,2000
100489,1988
102071,2016
100531,1987
103877,2009
106045,2012
102994,2019
105593,2021
103690,1974
103928,2017
104437,2020
102842,2019
105824,2020
102765,2016
104969,1984
104985,2015
104571,2016
105039,2021
